category,corresponding_goal,step,retrieved_goal,retrieved_goal_similarity,answer
Arts and Entertainment,Harmonize,Learn your part perfectly to avoid getting distracted by other singers.,Avoid Singing Through Your Nose,0.45320200000000005,1
Arts and Entertainment,Harmonize,Learn your part perfectly to avoid getting distracted by other singers.,Avoid Distractions Online,0.463329,0
Arts and Entertainment,Harmonize,Learn your part perfectly to avoid getting distracted by other singers.,Avoid Getting Discouraged,0.46500334,1
Arts and Entertainment,Harmonize,Learn your part perfectly to avoid getting distracted by other singers.,Avoid Distractions While Driving,0.4776485,0
Arts and Entertainment,Harmonize,Learn your part perfectly to avoid getting distracted by other singers.,Avoid Getting Cracks in Your Voice When Singing,0.48033565,1
Arts and Entertainment,Harmonize,Learn your part perfectly to avoid getting distracted by other singers.,Stop Getting Distracted by Your Phone when Studying,0.4973209,1
Arts and Entertainment,Harmonize,Learn your part perfectly to avoid getting distracted by other singers.,Avoid Distractions,0.5307333000000001,0
Arts and Entertainment,Harmonize,Learn your part perfectly to avoid getting distracted by other singers.,Avoid Distractions While Studying,0.57042015,2
Arts and Entertainment,Legally Listen to Music for Free,Listen to the radio.,Make a Radio Show,0.54934436,2
Arts and Entertainment,Legally Listen to Music for Free,Listen to the radio.,Peak and Tune a CB Radio,0.5703997,2
Arts and Entertainment,Legally Listen to Music for Free,Listen to the radio.,Listen,0.5765274,2
Arts and Entertainment,Legally Listen to Music for Free,Listen to the radio.,Be a Radio Announcer,0.5948738,2
Arts and Entertainment,Legally Listen to Music for Free,Listen to the radio.,Operate a CB Radio,0.60152495,2
Arts and Entertainment,Legally Listen to Music for Free,Listen to the radio.,Choose a Scanner Radio,0.6035009,2
Arts and Entertainment,Legally Listen to Music for Free,Listen to the radio.,Learn a Language by Listening to the Radio,0.6453594,3
Arts and Entertainment,Legally Listen to Music for Free,Listen to the radio.,Listen to Satellite Radio,0.69442064,2
Arts and Entertainment,Legally Listen to Music for Free,Listen to the radio.,Listen to the Radio on an iPhone,0.74252474,2
Arts and Entertainment,Legally Listen to Music for Free,Listen to the radio.,Listen to Police Radio,0.74990344,2
Arts and Entertainment,Play the F Chord on Guitar,Play other barre chords.,Play a Bm Chord on Guitar,0.5338615,1
Arts and Entertainment,Play the F Chord on Guitar,Play other barre chords.,Play Chords on the Ukulele,0.5589728,1
Arts and Entertainment,Play the F Chord on Guitar,Play other barre chords.,Play Diminished Piano Chords,0.5598801999999999,1
Arts and Entertainment,Play the F Chord on Guitar,Play other barre chords.,Learn Music Chords,0.56272733,0
Arts and Entertainment,Play the F Chord on Guitar,Play other barre chords.,Play Major Chords on a Keyboard,0.5864345999999999,3
Arts and Entertainment,Play the F Chord on Guitar,Play other barre chords.,Read Chords,0.59291375,2
Arts and Entertainment,Play the F Chord on Guitar,Play other barre chords.,Play a Power Chords in Drop D,0.5933970999999999,2
Arts and Entertainment,Play the F Chord on Guitar,Play other barre chords.,Play Guitar Chords,0.6452872,3
Arts and Entertainment,Play the F Chord on Guitar,Play other barre chords.,Play Chords in Music,0.6850137,0
Arts and Entertainment,Play the F Chord on Guitar,Play other barre chords.,Play Barre Chords on a Guitar,0.77552336,1
Arts and Entertainment,Pretend to Be a Girl,Put on makeup.,Do a Makeover With No Makeup,0.6656888000000001,2
Arts and Entertainment,Pretend to Be a Girl,Put on makeup.,Wear Subtle Makeup,0.6714405999999999,2
Arts and Entertainment,Pretend to Be a Girl,Put on makeup.,Apply Contour Makeup,0.6722093000000001,1
Arts and Entertainment,Pretend to Be a Girl,Put on makeup.,Wear Eye Makeup,0.6723074,4
Arts and Entertainment,Pretend to Be a Girl,Put on makeup.,Remove Makeup,0.6821098000000001,4
Arts and Entertainment,Pretend to Be a Girl,Put on makeup.,Wear Makeup Appropriately,0.68670547,2
Arts and Entertainment,Pretend to Be a Girl,Put on makeup.,Start Wearing Makeup,0.712098,2
Arts and Entertainment,Pretend to Be a Girl,Put on makeup.,Create a No Makeup Makeup Look,0.7305083,2
Arts and Entertainment,Pretend to Be a Girl,Put on makeup.,Set Your Makeup,0.7388189000000001,4
Arts and Entertainment,Pretend to Be a Girl,Put on makeup.,Apply Makeup,0.7523658000000001,2
Arts and Entertainment,Organise a Gig,Relax and get ready for your next successful gig.,Get Ready for Your Party,0.46748959999999995,1
Arts and Entertainment,Organise a Gig,Relax and get ready for your next successful gig.,Be Successful,0.46875286,1
Arts and Entertainment,Organise a Gig,Relax and get ready for your next successful gig.,Prepare to Perform in a Concert,0.4854062,1
Arts and Entertainment,Organise a Gig,Relax and get ready for your next successful gig.,Succeed,0.4916710999999999,1
Arts and Entertainment,Organise a Gig,Relax and get ready for your next successful gig.,Get Your Band Successful,0.49261007,1
Arts and Entertainment,Organise a Gig,Relax and get ready for your next successful gig.,Prepare for the Next Grade,0.49687734,1
Arts and Entertainment,Organise a Gig,Relax and get ready for your next successful gig.,Get Ready for Work,0.5009496,1
Arts and Entertainment,Organise a Gig,Relax and get ready for your next successful gig.,Prepare Your Band for a Gig,0.5141928,2
Arts and Entertainment,Organise a Gig,Relax and get ready for your next successful gig.,Prepare for a Concert,0.51784647,1
Arts and Entertainment,Organise a Gig,Relax and get ready for your next successful gig.,Get Ready for Your Next Big Move,0.58177716,1
Arts and Entertainment,Darn Pointe Shoes,Thread the needle.,Sew a Knitting Needle Roll Up,0.55960345,3
Arts and Entertainment,Darn Pointe Shoes,Thread the needle.,Thread a Sewing Machine,0.5719310999999999,4
Arts and Entertainment,Darn Pointe Shoes,Thread the needle.,Choose Sewing Thread,0.5794734,1
Arts and Entertainment,Darn Pointe Shoes,Thread the needle.,Needle Punch,0.58250743,3
Arts and Entertainment,Darn Pointe Shoes,Thread the needle.,Needle Felt,0.602861,2
Arts and Entertainment,Darn Pointe Shoes,Thread the needle.,Do Threading,0.6135771,1
Arts and Entertainment,Darn Pointe Shoes,Thread the needle.,Do Needlepoint,0.623564,2
Arts and Entertainment,Darn Pointe Shoes,Thread the needle.,Thread a Needle and Tie a Knot,0.68032485,2
Arts and Entertainment,Darn Pointe Shoes,Thread the needle.,Use a Needle Threader,0.8106375,1
Arts and Entertainment,Darn Pointe Shoes,Thread the needle.,Thread a Needle,0.94162834,1
Arts and Entertainment,Style Your Hair Like the 11th Doctor,Towel dry your hair.,Turn Dry Hair to Healthy Hair,0.5726774,3
Arts and Entertainment,Style Your Hair Like the 11th Doctor,Towel dry your hair.,Air Dry Your Hair Straight,0.60773486,1
Arts and Entertainment,Style Your Hair Like the 11th Doctor,Towel dry your hair.,Snap a Towel,0.6177725000000001,1
Arts and Entertainment,Style Your Hair Like the 11th Doctor,Towel dry your hair.,Get Rid of Dry Hair and Dry Scalp,0.62899566,2
Arts and Entertainment,Style Your Hair Like the 11th Doctor,Towel dry your hair.,Treat Dry Hair,0.6313411999999999,1
Arts and Entertainment,Style Your Hair Like the 11th Doctor,Towel dry your hair.,Blow Dry Hair,0.6459328000000001,3
Arts and Entertainment,Style Your Hair Like the 11th Doctor,Towel dry your hair.,Dry Your Hands with One Paper Towel,0.66011626,0
Arts and Entertainment,Style Your Hair Like the 11th Doctor,Towel dry your hair.,Wrap Your Hair in a Towel,0.7578094,1
Arts and Entertainment,Style Your Hair Like the 11th Doctor,Towel dry your hair.,Dry Your Hair,0.7871840999999999,1
Arts and Entertainment,Style Your Hair Like the 11th Doctor,Towel dry your hair.,Towel Dry Hair,0.93745595,1
Arts and Entertainment,Start Creating Music,Upload your song online so you can share it with other people.,Share Content on Your Online Network With AddThis for Firefox,0.44066495,0
Arts and Entertainment,Start Creating Music,Upload your song online so you can share it with other people.,Promote Your Music Online for Free,0.4450251,4
Arts and Entertainment,Start Creating Music,Upload your song online so you can share it with other people.,Share Photos Online,0.45030814,4
Arts and Entertainment,Start Creating Music,Upload your song online so you can share it with other people.,Find People Online,0.4508376,3
Arts and Entertainment,Start Creating Music,Upload your song online so you can share it with other people.,Share an Internet Connection,0.45111024,1
Arts and Entertainment,Start Creating Music,Upload your song online so you can share it with other people.,Record a Song,0.45996892,2
Arts and Entertainment,Start Creating Music,Upload your song online so you can share it with other people.,Share Your iPhone Internet Connection With Your PC,0.46649724,1
Arts and Entertainment,Start Creating Music,Upload your song online so you can share it with other people.,Promote Your Online Store Online,0.48353500000000005,2
Arts and Entertainment,Start Creating Music,Upload your song online so you can share it with other people.,Share Your Obituary with Your Online Friends,0.49710226,4
Arts and Entertainment,Start Creating Music,Upload your song online so you can share it with other people.,Put Your Music Online,0.5557517,2
Arts and Entertainment,Write a Book Summary,Write notes while you’re reading.,Write a Literary Commentary,0.56683314,2
Arts and Entertainment,Write a Book Summary,Write notes while you’re reading.,Write Social Studies Notes,0.567186,3
Arts and Entertainment,Write a Book Summary,Write notes while you’re reading.,Write Readable Code Without Comments,0.56724775,2
Arts and Entertainment,Write a Book Summary,Write notes while you’re reading.,Write Report Card Comments,0.5711615,1
Arts and Entertainment,Write a Book Summary,Write notes while you’re reading.,Take Notes,0.57562894,4
Arts and Entertainment,Write a Book Summary,Write notes while you’re reading.,Write a Read Me,0.59121597,2
Arts and Entertainment,Write a Book Summary,Write notes while you’re reading.,Write a Note,0.5963875,4
Arts and Entertainment,Write a Book Summary,Write notes while you’re reading.,Write a Commentary,0.6038578,3
Arts and Entertainment,Write a Book Summary,Write notes while you’re reading.,Write Correspondence Notes,0.63752925,0
Arts and Entertainment,Write a Book Summary,Write notes while you’re reading.,Write a Reading Log,0.64514107,3
Cars & Other Vehicles,Size a Bike,Adjust your handlebars to ride comfortably.,Adjust Seating to the Proper Position While Driving,0.42999375,3
Cars & Other Vehicles,Size a Bike,Adjust your handlebars to ride comfortably.,Adjust Volume when Taskbar Controls Are Blocked,0.44046623,0
Cars & Other Vehicles,Size a Bike,Adjust your handlebars to ride comfortably.,Adjust Your Seat Belt,0.4463277,0
Cars & Other Vehicles,Size a Bike,Adjust your handlebars to ride comfortably.,Remove Bicycle Handlebar Grips,0.47949606,4
Cars & Other Vehicles,Size a Bike,Adjust your handlebars to ride comfortably.,Adjust a Torsion Bar,0.4845682,2
Cars & Other Vehicles,Size a Bike,Adjust your handlebars to ride comfortably.,Adjust,0.49849224,0
Cars & Other Vehicles,Size a Bike,Adjust your handlebars to ride comfortably.,Turn Bike Handlebars Sideways,0.54995483,4
Cars & Other Vehicles,Size a Bike,Adjust your handlebars to ride comfortably.,Tape Handlebars,0.57584286,3
Cars & Other Vehicles,Size a Bike,Adjust your handlebars to ride comfortably.,Raise Road Bike Handlebars,0.57797664,2
Cars & Other Vehicles,Size a Bike,Adjust your handlebars to ride comfortably.,Adjust Handlebars,0.81277966,4
Cars & Other Vehicles,Get Your Driving Permit,Prepare for your driver's license test.,Pass a Drivers Written Test,0.607111,1
Cars & Other Vehicles,Get Your Driving Permit,Prepare for your driver's license test.,Renew Your Drivers License,0.61692953,4
Cars & Other Vehicles,Get Your Driving Permit,Prepare for your driver's license test.,Pass Your Permit Test,0.6174816999999999,1
Cars & Other Vehicles,Get Your Driving Permit,Prepare for your driver's license test.,Pass Your Driving Test,0.64074576,4
Cars & Other Vehicles,Get Your Driving Permit,Prepare for your driver's license test.,Prepare for an Exam,0.6434432,2
Cars & Other Vehicles,Get Your Driving Permit,Prepare for your driver's license test.,Prepare for a Test,0.6739687,2
Cars & Other Vehicles,Get Your Driving Permit,Prepare for your driver's license test.,Check the Points on Your Driver's License,0.6757593000000001,0
Cars & Other Vehicles,Get Your Driving Permit,Prepare for your driver's license test.,Replace Your Driver's License,0.67697334,4
Cars & Other Vehicles,Get Your Driving Permit,Prepare for your driver's license test.,Check Your Driver's License Status,0.6861771,0
Cars & Other Vehicles,Get Your Driving Permit,Prepare for your driver's license test.,Prepare for a Driving Test,0.732013,1
Cars & Other Vehicles,Start a Diesel Truck,Test the 2 batteries regularly and replace both when needed.,Replace the Battery in a Key Fob,0.4159224,0
Cars & Other Vehicles,Start a Diesel Truck,Test the 2 batteries regularly and replace both when needed.,Create a Battery Tester,0.41947579999999995,4
Cars & Other Vehicles,Start a Diesel Truck,Test the 2 batteries regularly and replace both when needed.,Buy Rechargeable Batteries,0.42211607,0
Cars & Other Vehicles,Start a Diesel Truck,Test the 2 batteries regularly and replace both when needed.,Change a 2 Way Switch and a Light Fixture,0.42216796,0
Cars & Other Vehicles,Start a Diesel Truck,Test the 2 batteries regularly and replace both when needed.,Store Batteries,0.42677763,0
Cars & Other Vehicles,Start a Diesel Truck,Test the 2 batteries regularly and replace both when needed.,Use AAA Batteries As AA Batteries,0.43949133,0
Cars & Other Vehicles,Start a Diesel Truck,Test the 2 batteries regularly and replace both when needed.,Recharge Batteries,0.45188326,0
Cars & Other Vehicles,Start a Diesel Truck,Test the 2 batteries regularly and replace both when needed.,Know when You Have to Get a Replacement Battery,0.47463754,4
Cars & Other Vehicles,Start a Diesel Truck,Test the 2 batteries regularly and replace both when needed.,Replace a Kindle Battery,0.47979793,0
Cars & Other Vehicles,Start a Diesel Truck,Test the 2 batteries regularly and replace both when needed.,Test Your Batteries,0.49727740000000004,4
Computers and Electronics,Update Your Computer's BIOS,Access the BIOS page.,Write a Biopoem,0.45919475,0
Computers and Electronics,Update Your Computer's BIOS,Access the BIOS page.,Reset Your BIOS,0.45997709999999997,1
Computers and Electronics,Update Your Computer's BIOS,Access the BIOS page.,Flash a Laptop BIOS,0.47092262,3
Computers and Electronics,Update Your Computer's BIOS,Access the BIOS page.,Write a Personal Bio,0.47128165,0
Computers and Electronics,Update Your Computer's BIOS,Access the BIOS page.,Access Blocked Websites,0.49218875,2
Computers and Electronics,Update Your Computer's BIOS,Access the BIOS page.,Take Biotin,0.5146483000000001,0
Computers and Electronics,Update Your Computer's BIOS,Access the BIOS page.,Set a BIOS Password,0.5148967000000001,2
Computers and Electronics,Update Your Computer's BIOS,Access the BIOS page.,Write a Bio for a Dating Site,0.51844,0
Computers and Electronics,Update Your Computer's BIOS,Access the BIOS page.,Check BIOS Version,0.52999365,0
Computers and Electronics,Update Your Computer's BIOS,Access the BIOS page.,Enter BIOS,0.6689743,1
Computers and Electronics,Become Tech Savvy,Be knowledgeable in many fields.,Chalk a Baseball Field,0.3069313,0
Computers and Electronics,Become Tech Savvy,Be knowledgeable in many fields.,Identify a Field Spaniel,0.31379497,0
Computers and Electronics,Become Tech Savvy,Be knowledgeable in many fields.,Have a Good Time on a Field Trip,0.31429324,0
Computers and Electronics,Become Tech Savvy,Be knowledgeable in many fields.,Improve at Battlefield,0.31594429999999996,0
Computers and Electronics,Become Tech Savvy,Be knowledgeable in many fields.,Get a Job in the Legal Field,0.33492315,0
Computers and Electronics,Become Tech Savvy,Be knowledgeable in many fields.,Open Field Tackle,0.33631063,0
Computers and Electronics,Become Tech Savvy,Be knowledgeable in many fields.,Be Knowledgeable About Pop Music,0.33709845,4
Computers and Electronics,Become Tech Savvy,Be knowledgeable in many fields.,Be Talented in Multiple Areas,0.3941636,2
Computers and Electronics,Become Tech Savvy,Be knowledgeable in many fields.,Plow a Field,0.42815667,0
Computers and Electronics,Become Tech Savvy,Be knowledgeable in many fields.,Be Knowledgeable,0.5897676,1
Computers and Electronics,Not Get Caught Looking at Porn,Delete your browser history if you don’t use private browsing.,Delete Your Search History on Pinterest,0.5765948000000001,2
Computers and Electronics,Not Get Caught Looking at Porn,Delete your browser history if you don’t use private browsing.,View Your Browser Downloads,0.5772944000000001,4
Computers and Electronics,Not Get Caught Looking at Porn,Delete your browser history if you don’t use private browsing.,Delete Your Browsing History After Shopping for Presents,0.59016037,4
Computers and Electronics,Not Get Caught Looking at Porn,Delete your browser history if you don’t use private browsing.,View Browsing History,0.59944004,4
Computers and Electronics,Not Get Caught Looking at Porn,Delete your browser history if you don’t use private browsing.,Unlock Your Browser,0.5998220000000001,1
Computers and Electronics,Not Get Caught Looking at Porn,Delete your browser history if you don’t use private browsing.,View Your Browser History on a Mac,0.6075063,4
Computers and Electronics,Not Get Caught Looking at Porn,Delete your browser history if you don’t use private browsing.,Delete Browsing History in Internet Explorer,0.6283491,2
Computers and Electronics,Not Get Caught Looking at Porn,Delete your browser history if you don’t use private browsing.,Disable Delete Browser History in Internet Explorer,0.67333776,1
Computers and Electronics,Not Get Caught Looking at Porn,Delete your browser history if you don’t use private browsing.,Recover Deleted History from Your Browser,0.6980735,1
Computers and Electronics,Not Get Caught Looking at Porn,Delete your browser history if you don’t use private browsing.,Delete Browsing History,0.7388515,4
Computers and Electronics,Install a Hard Drive,Install an operating system.,Install a Septic System,0.6229215,1
Computers and Electronics,Install a Hard Drive,Install an operating system.,Install an Irrigation System,0.6381138000000001,1
Computers and Electronics,Install a Hard Drive,Install an operating system.,Install a Commercial Sound System,0.64363134,4
Computers and Electronics,Install a Hard Drive,Install an operating system.,Install a Sprinkler System,0.64905393,1
Computers and Electronics,Install a Hard Drive,Install an operating system.,Pick an Operating System,0.64949495,1
Computers and Electronics,Install a Hard Drive,Install an operating system.,Install an Operating System on a Brand New Computer,0.67890656,1
Computers and Electronics,Install a Hard Drive,Install an operating system.,Install an Exhaust System,0.6798474,1
Computers and Electronics,Install a Hard Drive,Install an operating system.,Install Two Operating Systems on One Computer,0.68075585,1
Computers and Electronics,Install a Hard Drive,Install an operating system.,Install a Computer Operating System Using a Pendrive,0.6892953,1
Computers and Electronics,Install a Hard Drive,Install an operating system.,Install a New Operating System on Your Computer,0.7240652,3
Computers and Electronics,Become a Hacker,Learn the language of programming.,Start Learning Computer Programming,0.59838015,4
Computers and Electronics,Become a Hacker,Learn the language of programming.,Learn Vocabulary in a Foreign Language,0.59844685,3
Computers and Electronics,Become a Hacker,Learn the language of programming.,Start Learning to Program,0.60151845,0
Computers and Electronics,Become a Hacker,Learn the language of programming.,Help Your Kid Learn in a Dual Language Program,0.6194376,3
Computers and Electronics,Become a Hacker,Learn the language of programming.,Become Skilled at Learning Programming Languages,0.69922763,2
Computers and Electronics,Become a Hacker,Learn the language of programming.,Learn Any Language,0.70669144,3
Computers and Electronics,Become a Hacker,Learn the language of programming.,Learn Programming Languages from Books by Yourself,0.7151384,3
Computers and Electronics,Become a Hacker,Learn the language of programming.,Create a Programming Language,0.73449016,3
Computers and Electronics,Become a Hacker,Learn the language of programming.,Learn a Language,0.7449975999999999,3
Computers and Electronics,Become a Hacker,Learn the language of programming.,Learn a Programming Language,0.9526324,4
Computers and Electronics,Save a Link in Google Chrome,Open Google Chrome.,Uninstall Google Chrome,0.80525696,1
Computers and Electronics,Save a Link in Google Chrome,Open Google Chrome.,Sign Out of Google Chrome,0.81198204,1
Computers and Electronics,Save a Link in Google Chrome,Open Google Chrome.,Allow Pop ups on Google Chrome,0.8147812,3
Computers and Electronics,Save a Link in Google Chrome,Open Google Chrome.,Repair Google Chrome,0.82324284,1
Computers and Electronics,Save a Link in Google Chrome,Open Google Chrome.,Reset Google Chrome,0.8234471999999999,1
Computers and Electronics,Save a Link in Google Chrome,Open Google Chrome.,Open Google Chrome Task Manager,0.82405204,1
Computers and Electronics,Save a Link in Google Chrome,Open Google Chrome.,Make a Google Chrome Theme,0.8352156999999999,1
Computers and Electronics,Save a Link in Google Chrome,Open Google Chrome.,Set Up Google Chromecast,0.8396783000000001,1
Computers and Electronics,Save a Link in Google Chrome,Open Google Chrome.,Close Google Chrome,0.85103416,2
Computers and Electronics,Save a Link in Google Chrome,Open Google Chrome.,Use Google Chrome,0.8531112,2
Computers and Electronics,Customize the Ordering of Your Search Services in Internet Explorer 9,Open Internet Explorer.,Fix Internet Explorer when It Can't Open a Webpage,0.70530796,4
Computers and Electronics,Customize the Ordering of Your Search Services in Internet Explorer 9,Open Internet Explorer.,Print from Internet Explorer,0.7059483,4
Computers and Electronics,Customize the Ordering of Your Search Services in Internet Explorer 9,Open Internet Explorer.,Access Internet Explorer History,0.7088539,0
Computers and Electronics,Customize the Ordering of Your Search Services in Internet Explorer 9,Open Internet Explorer.,Install Internet Explorer,0.723158,4
Computers and Electronics,Customize the Ordering of Your Search Services in Internet Explorer 9,Open Internet Explorer.,Manage Pop‐Ups in Internet Explorer,0.7358395999999999,0
Computers and Electronics,Customize the Ordering of Your Search Services in Internet Explorer 9,Open Internet Explorer.,Zoom in Internet Explorer,0.7453371,4
Computers and Electronics,Customize the Ordering of Your Search Services in Internet Explorer 9,Open Internet Explorer.,Repair Internet Explorer,0.74657273,0
Computers and Electronics,Customize the Ordering of Your Search Services in Internet Explorer 9,Open Internet Explorer.,Speed Up Internet Explorer,0.75902516,4
Computers and Electronics,Customize the Ordering of Your Search Services in Internet Explorer 9,Open Internet Explorer.,Close Internet Explorer,0.7941281,4
Computers and Electronics,Customize the Ordering of Your Search Services in Internet Explorer 9,Open Internet Explorer.,Open Internet Explorer,0.97297883,1
Computers and Electronics,Check if Microsoft Windows is Activated,Open the Settings app.,Set a Keyboard Shortcut to Open Mac Apps,0.43945658,1
Computers and Electronics,Check if Microsoft Windows is Activated,Open the Settings app.,Download Apps,0.44061628,1
Computers and Electronics,Check if Microsoft Windows is Activated,Open the Settings app.,Use the Byte App,0.44559065,3
Computers and Electronics,Check if Microsoft Windows is Activated,Open the Settings app.,Open Up,0.44667366,4
Computers and Electronics,Check if Microsoft Windows is Activated,Open the Settings app.,Open Windows 10 Settings,0.45104975,1
Computers and Electronics,Check if Microsoft Windows is Activated,Open the Settings app.,Cite an App,0.46373093,2
Computers and Electronics,Check if Microsoft Windows is Activated,Open the Settings app.,Install Apps,0.47801545,1
Computers and Electronics,Check if Microsoft Windows is Activated,Open the Settings app.,Get Free Apps,0.48793688,0
Computers and Electronics,Check if Microsoft Windows is Activated,Open the Settings app.,Download App Store Apps for Free,0.505363,1
Computers and Electronics,Check if Microsoft Windows is Activated,Open the Settings app.,Use the Yo. App,0.525419,0
Computers and Electronics,Turn On AirPlay,Turn on Bluetooth.,Choose Bluetooth Headphones,0.71542215,4
Computers and Electronics,Turn On AirPlay,Turn on Bluetooth.,Add Bluetooth to a Car,0.7235041,4
Computers and Electronics,Turn On AirPlay,Turn on Bluetooth.,Use a Bluetooth Device,0.72990465,1
Computers and Electronics,Turn On AirPlay,Turn on Bluetooth.,Use a Bluetooth Dongle,0.73839843,4
Computers and Electronics,Turn On AirPlay,Turn on Bluetooth.,Turn on Bluetooth With Android,0.74034536,4
Computers and Electronics,Turn On AirPlay,Turn on Bluetooth.,Connect Beats to Bluetooth,0.74221224,4
Computers and Electronics,Turn On AirPlay,Turn on Bluetooth.,Install Bluetooth,0.75192547,1
Computers and Electronics,Turn On AirPlay,Turn on Bluetooth.,Set Up Bluetooth on an iPhone,0.76116836,1
Computers and Electronics,Turn On AirPlay,Turn on Bluetooth.,Turn on Bluetooth on Your Phone,0.8592371999999999,1
Computers and Electronics,Turn On AirPlay,Turn on Bluetooth.,Set up Bluetooth,0.8597981,1
Education and Communications,Stop Thinking Too Much,Ask for advice.,Ask for Feedback,0.4936347,0
Education and Communications,Stop Thinking Too Much,Ask for advice.,Get Counselling,0.5074088999999999,3
Education and Communications,Stop Thinking Too Much,Ask for advice.,Ask for a Second Opinion,0.50820565,4
Education and Communications,Stop Thinking Too Much,Ask for advice.,Give People Advice,0.51480037,4
Education and Communications,Stop Thinking Too Much,Ask for advice.,Ask for a Recommendation Letter,0.5527283000000001,0
Education and Communications,Stop Thinking Too Much,Ask for advice.,Ask for Help,0.5763918,2
Education and Communications,Stop Thinking Too Much,Ask for advice.,Ask for a Reference,0.5829649,0
Education and Communications,Stop Thinking Too Much,Ask for advice.,Write a Letter Asking for Advice,0.6212321,3
Education and Communications,Stop Thinking Too Much,Ask for advice.,Ask for a Referral,0.62374115,0
Education and Communications,Stop Thinking Too Much,Ask for advice.,Give Advice,0.64565104,4
Education and Communications,Start Your Own Magazine,Create a business plan.,Create a Job Skills Development Plan,0.64255637,2
Education and Communications,Start Your Own Magazine,Create a business plan.,Write a Trading Plan,0.64999354,3
Education and Communications,Start Your Own Magazine,Create a business plan.,Form a Plan,0.65463716,0
Education and Communications,Start Your Own Magazine,Create a business plan.,Write a Business Plan for a Small Business,0.65565574,1
Education and Communications,Start Your Own Magazine,Create a business plan.,Plan Your Business,0.69045913,3
Education and Communications,Start Your Own Magazine,Create a business plan.,Create an Agenda,0.7013491,0
Education and Communications,Start Your Own Magazine,Create a business plan.,Write a Business Plan,0.7015875,1
Education and Communications,Start Your Own Magazine,Create a business plan.,Create a Marketing Plan,0.7099666,4
Education and Communications,Start Your Own Magazine,Create a business plan.,Write a Business Plan Using a Business Plan Template,0.71066165,3
Education and Communications,Start Your Own Magazine,Create a business plan.,Create a Business Continuity Plan,0.73254174,3
Education and Communications,Become a Chemistry Teacher,Find a job.,Find Airline Jobs,0.6107489,4
Education and Communications,Become a Chemistry Teacher,Find a job.,Job Search While You Have a Job,0.6273525,3
